name,source,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
Consumption Deflator Growth,current,0.0153,0.0138,0.0165,0.0186,0.0175,0.0115,0.0102,NA,NA,0.0074,0.0076,0.007,0.0061,0.0063,0.006,0.0057,0.0055
Consumption Deflator Growth,difference,-4e-4,1e-4,0.0014,4e-4,-3e-4,9e-4,0.001,NA,NA,-0,-0,0,-0,-0,0,-0,0
Consumption Deflator Growth,previous,0.0157,0.0137,0.0151,0.0182,0.0178,0.0106,0.0092,NA,NA,0.0074,0.0076,0.007,0.0061,0.0063,0.006,0.0057,0.0055
Cpiu,current,268.5577,272.8873,278.7067,284.8937,291.5357,295.4957,298.525,NA,NA,308.522,311.218,313.446,315.355,317.119,318.802,320.534,322.229
Cpiu,difference,-0,0,-0,-0,-0,-0,0,NA,NA,0,0,0,0,0,0,0,0
Cpiu,previous,268.5577,272.8873,278.7067,284.8937,291.5357,295.4957,298.525,NA,NA,308.522,311.218,313.446,315.355,317.119,318.802,320.534,322.229
Federal Aid to Small Businesses Arp Contribution,current,0.0416,0.1832,0.0467,-0.0341,0.0248,0.0242,-0.0364,NA,NA,-9e-4,-0.0076,-0.0074,-0.0179,-0.0678,-0.0294,-0.0284,-0.0268
Federal Aid to Small Businesses Arp Contribution,difference,-5e-4,-0.002,-8e-4,2e-4,-4e-4,-4e-4,2e-4,NA,NA,-1e-4,-1e-4,-1e-4,0,5e-4,2e-4,2e-4,2e-4
Federal Aid to Small Businesses Arp Contribution,previous,0.0421,0.1851,0.0475,-0.0343,0.0253,0.0246,-0.0365,NA,NA,-7e-4,-0.0075,-0.0074,-0.0179,-0.0683,-0.0296,-0.0286,-0.027
Federal Contribution,current,-0.1191,-0.6457,0.3213,-0.2096,0.4212,-0.3109,-0.1707,NA,NA,-0.1378,-0.1926,-0.3912,-0.4891,-0.1416,-0.1412,-0.4555,-0.4539
Federal Contribution,difference,-0.1319,0.047,0.1526,-0.0841,-0.0153,-0.1322,0.2642,NA,NA,0.0482,0.0019,0.0039,0.0048,0.0014,0.0014,0.0045,0.0045
Federal Contribution,previous,0.0128,-0.6927,0.1686,-0.1256,0.4365,-0.1787,-0.4349,NA,NA,-0.186,-0.1945,-0.3951,-0.4939,-0.143,-0.1426,-0.46,-0.4584
Federal Corporate Taxes Contribution,current,-0.0167,-0.014,-0.0225,-0.0488,-0.0712,0.1062,-0.0456,NA,NA,0.3454,0.322,0.2069,-0.0731,-0.1906,-0.174,-0.2324,-0.1648
Federal Corporate Taxes Contribution,difference,6e-4,-0.0021,-0.0026,-0.0088,-0.0202,-0.0217,-0.0156,NA,NA,0.0135,0.0114,0.0015,0.004,0.0047,0.0032,0.0116,0.0197
Federal Corporate Taxes Contribution,previous,-0.0173,-0.012,-0.0199,-0.04,-0.0509,0.1279,-0.0301,NA,NA,0.3319,0.3106,0.2054,-0.0771,-0.1953,-0.1772,-0.244,-0.1845
Federal Health Outlays Contribution,current,-0.0053,0.1156,0.0629,0.1572,0.0108,-0.0442,-0.1304,NA,NA,-0.0427,-0.02,-0.062,-0.0524,-0.0619,0.0065,0.0705,0.1165
Federal Health Outlays Contribution,difference,-0.0534,-0.0377,0.0177,0.0977,0.0955,0.0475,-0.0656,NA,NA,-0.0345,0.0186,0.0657,0.0736,6e-4,-1e-4,-7e-4,-0.0011
Federal Health Outlays Contribution,previous,0.0481,0.1533,0.0452,0.0595,-0.0847,-0.0916,-0.0648,NA,NA,-0.0083,-0.0386,-0.1277,-0.126,-0.0625,0.0066,0.0712,0.1177
Federal Non Corporate Taxes Contribution,current,-0.5022,-0.4732,-0.4268,-0.7124,-0.7669,-0.3895,-0.1465,NA,NA,0.0398,0.056,0.3869,0.3321,0.3204,0.1878,-0.0779,-0.0578
Federal Non Corporate Taxes Contribution,difference,-0.0906,-0.0593,-0.0205,0.172,0.2378,0.2073,0.2216,NA,NA,-0.0913,-0.1001,-0.0314,-0.0652,-0.0898,-0.1116,-0.1475,-0.1423
Federal Non Corporate Taxes Contribution,previous,-0.4116,-0.4139,-0.4064,-0.8843,-1.0047,-0.5968,-0.3681,NA,NA,0.1311,0.1561,0.4183,0.3973,0.4102,0.2994,0.0696,0.0846
Federal Other Direct Aid Arp Contribution,current,-0.0386,0.0092,0.0846,0.0547,0.0337,-0.0631,-0.0644,NA,NA,-0.0363,-0.0239,-0.0263,-0.0205,-0.0216,-0.03,-0.0209,-0.0161
Federal Other Direct Aid Arp Contribution,difference,4e-4,-2e-4,-0.0011,-8e-4,-5e-4,6e-4,5e-4,NA,NA,2e-4,2e-4,2e-4,1e-4,2e-4,3e-4,2e-4,1e-4
Federal Other Direct Aid Arp Contribution,previous,-0.039,0.0094,0.0857,0.0555,0.0341,-0.0637,-0.0649,NA,NA,-0.0365,-0.024,-0.0265,-0.0206,-0.0217,-0.0302,-0.0211,-0.0162
Federal Other Vulnerable Arp Contribution,current,0.1201,0.1348,0.1437,0.1243,0.084,0.0483,-0.0368,NA,NA,-0.0954,-0.0976,-0.0627,-0.0495,-0.0438,-0.0261,-0.0104,-0.0099
Federal Other Vulnerable Arp Contribution,difference,-0.0015,-0.0014,-0.0019,-0.0018,-0.0012,-9e-4,-0,NA,NA,7e-4,9e-4,6e-4,4e-4,4e-4,3e-4,1e-4,1e-4
Federal Other Vulnerable Arp Contribution,previous,0.1216,0.1362,0.1456,0.1261,0.0852,0.0492,-0.0368,NA,NA,-0.0961,-0.0985,-0.0633,-0.0499,-0.0442,-0.0264,-0.0105,-0.01
Federal Purchases Deflator Growth,current,0.0097,0.0101,0.0114,0.0176,0.0167,0.0119,0.0101,NA,NA,0.0083,0.0072,0.0072,0.0067,0.0069,0.0066,0.0063,0.0061
Federal Purchases Deflator Growth,difference,-4e-4,-7e-4,7e-4,0.0037,0.002,0,0.0023,NA,NA,-0,0,0,0,-0,0,-0,0
Federal Purchases Deflator Growth,previous,0.0102,0.0108,0.0107,0.0139,0.0147,0.0118,0.0078,NA,NA,0.0083,0.0072,0.0072,0.0067,0.0069,0.0066,0.0063,0.0061
Federal Social Benefits Contribution,current,-0.0501,-0.0511,0.1825,-0.9278,-0.2513,-0.8492,-0.4895,NA,NA,0.1259,-0.0718,-0.1573,-0.0762,-0.0702,-0.0374,-0.0734,-0.0716
Federal Social Benefits Contribution,difference,-0.0064,-0.0077,-0.0139,0.0014,-0.0085,-0.0061,-0.0077,NA,NA,-0.0076,4e-4,0.0021,8e-4,7e-4,4e-4,7e-4,7e-4
Federal Social Benefits Contribution,previous,-0.0437,-0.0434,0.1964,-0.9292,-0.2428,-0.8431,-0.4818,NA,NA,0.1334,-0.0722,-0.1594,-0.077,-0.0709,-0.0377,-0.0742,-0.0723
Federal Student Loans Contribution,current,0.0637,0.0292,0.0267,0.0168,-0.0132,-0.0126,-0.012,NA,NA,-0.1357,-0.1135,-0.103,-0.0943,-0.0556,-0.0302,-0.0299,-0.0235
Federal Student Loans Contribution,difference,-9e-4,-5e-4,-6e-4,-5e-4,-1e-4,-2e-4,-2e-4,NA,NA,0.0011,0.001,0.001,9e-4,5e-4,3e-4,3e-4,2e-4
Federal Student Loans Contribution,previous,0.0646,0.0296,0.0274,0.0173,-0.0131,-0.0124,-0.0118,NA,NA,-0.1368,-0.1146,-0.104,-0.0952,-0.0561,-0.0305,-0.0302,-0.0238
Federal Subsidies Contribution,current,0.3926,0.2349,0.0321,-0.0559,-0.0809,-0.083,-0.0507,NA,NA,-0.572,-0.2242,-0.1769,-0.3189,-0.2388,-0.1058,-0.0358,-0.0291
Federal Subsidies Contribution,difference,-0.0065,-0.0016,0.0025,0.0045,0.0039,0.0014,-0.0036,NA,NA,0.0049,0.0023,0.0021,0.0029,8e-4,-0.0015,-0.003,-0.0028
Federal Subsidies Contribution,previous,0.399,0.2365,0.0296,-0.0604,-0.0848,-0.0844,-0.0471,NA,NA,-0.5769,-0.2266,-0.1789,-0.3218,-0.2396,-0.1042,-0.0329,-0.0263
Federal Ui Contribution,current,0.0732,-0.9657,-1.027,-0.9508,-1.405,-0.9558,-0.393,NA,NA,-0.1284,-0.0075,-0.0014,-7e-4,-3e-4,-2e-4,0,0
Federal Ui Contribution,difference,-0.0023,0.0088,0.0103,0.0108,0.0153,0.0101,0.0038,NA,NA,0.0011,1e-4,0,0,0,0,0,0
Federal Ui Contribution,previous,0.0755,-0.9745,-1.0374,-0.9616,-1.4202,-0.9659,-0.3967,NA,NA,-0.1294,-0.0076,-0.0014,-7e-4,-3e-4,-2e-4,0,0
Fiscal Impact,current,-2.4471,-2.9732,-3.1863,-3.8062,-4.5576,-2.1794,-0.502,NA,NA,0.0549,-0.1222,-0.4576,-0.3208,-0.4019,-0.2822,-0.4974,-0.5315
Fiscal Impact,difference,-0.371,-0.4777,-0.0834,0.0517,0.2855,0.1564,0.4869,NA,NA,0.2017,0.0127,0.0543,0.0241,-0.0069,-0.0225,-0.0319,-0.0246
Fiscal Impact,previous,-2.0761,-2.4954,-3.1028,-3.8579,-4.8431,-2.3359,-0.9889,NA,NA,-0.1467,-0.1349,-0.5118,-0.3448,-0.395,-0.2597,-0.4655,-0.5068
Gdp,current,23292.4,23829,24654.6,25029.1,25544.3,25994.6,26408.4,NA,NA,27296.6007,27570.9529,27886.2623,28219.4778,28559.4851,28911.5327,29270.2692,29620.4645
Gdp,difference,245.5,278.6,305.5,288.6,295.8,270.7,270.4,NA,NA,266.6822,269.3626,272.4431,275.6986,279.0204,282.4598,285.9646,289.3859
Gdp,previous,23046.9,23550.4,24349.1,24740.5,25248.5,25723.9,26138,NA,NA,27029.9185,27301.5903,27613.8192,27943.7792,28280.4648,28629.0729,28984.3047,29331.0786
