year,quarter,impact,recession,total,federal,state_local,consumption,projection
2023,Q2,-0.8362752463042993,0,-0.4366290784072667,-0.23313551122967135,0.41446923886288645,-0.6179628060404818,0
2023,Q3,-0.206163355339544,0,0.11669951241471888,-0.13834317705567345,0.6372413246991597,-0.3821986352287674,0
2023,Q4,-0.15496258918560762,0,-0.20361835000867917,0.28189703895139495,0.12307562580909474,-0.6085910147691689,0
2024,Q1,-0.07333671570864157,0,0.2302010531666592,-0.14198756162768736,0.14327151242873812,0.22891710236560844,0
2024,Q2,0.11023419006924516,0,0.2976545447042802,0.1918319616047625,-0.01695473526525049,0.12277731836476818,0
2024,Q3,0.24250981981366346,0,0.645802031392392,0.6357757940006586,-0.09257839185567204,0.10260462924740538,0
2024,Q4,0.4298226104525708,0,0.5456328125469503,0.15254837632359466,0.02216543781191536,0.3709189984114402,0
2025,Q1,0.2424830485398335,0,-0.5191571944842902,-1.1699513280438536,0.6141688170411607,0.03662531651840269,0
2025,Q2,0.019287909105523804,0,-0.5951260130329585,-0.9459631673454761,0.5398790488459662,-0.18904189453344855,0
2025,Q3,-0.10308469471244384,0,0.1563116161205214,0.11078208223657365,-0.136628294192079,0.18215782807602676,1
2025,Q4,-0.27070558273756745,0,-0.12485073955354417,-0.053072004244564874,-0.08362913861216678,0.011850403303187484,1
2026,Q1,-0.033790578754829464,0,0.4285028214466617,0.24418566712940856,-0.1350938851153313,0.3194110394325844,1
2026,Q2,0.09895910495491855,0,-0.06412727819396646,-0.05921805511020617,-0.11360361233307226,0.10869438924931196,1
2026,Q3,0.004917047539185163,0,-0.21985661354241215,-0.07336886152099295,-0.15372111847030345,0.007233366448884254,1
2026,Q4,-0.06776594298859281,0,-0.4155827016646561,-0.1935429461106701,-0.13969368921481587,-0.08234606633917013,1
2027,Q1,-0.30279083596652845,0,-0.5115967504650808,-0.10882876740007574,-0.15795149288471627,-0.24481649018028878,1
2027,Q2,-0.40753802039401643,0,-0.48311601590391856,-0.1545665208135703,-0.14734520193261658,-0.18120429315773168,1
